pays,code_pays,annee,produit,code_produit,dispo_int,alim_ani,semences,pertes,transfo,nourriture,autres_utilisations
Arménie,1,2013,Blé,2511,554.0,93.0,30.0,32.0,10.0,389.0,0.0
Arménie,1,2013,Orge,2513,198.0,137.0,14.0,15.0,7.0,0.0,26.0
Arménie,1,2013,Pommes de Terre,2531,672.0,225.0,123.0,96.0,78.0,134.0,16.0
Albanie,3,2013,Orge,2513,19.0,7.0,0.0,1.0,9.0,1.0,1.0
Albanie,3,2013,Maïs,2514,420.0,361.0,3.0,44.0,3.0,6.0,3.0
Albanie,3,2013,Riz (Eq Blanchi),2805,25.0,0.0,0.0,0.0,0.0,25.0,0.0
Algérie,4,2013,Blé,2511,9461.0,545.0,153.0,672.0,0.0,7270.0,820.0
Argentine,9,2013,Maïs,2514,7881.0,4923.0,280.0,516.0,464.0,433.0,1266.0
Argentine,9,2013,"Plantes Oleiferes, Autre",2570,71.0,0.0,1.0,5.0,75.0,0.0,0.0
Australie,10,2013,Blé,2511,6691.0,3200.0,631.0,229.0,66.0,1645.0,920.0
Autriche,11,2013,Blé,2511,1320.0,467.0,55.0,40.0,11.0,689.0,58.0
Autriche,11,2013,Maïs,2514,2161.0,1157.0,9.0,51.0,679.0,105.0,160.0
Autriche,11,2013,Pommes de Terre,2531,712.0,8.0,51.0,48.0,48.0,496.0,61.0
Bangladesh,16,2013,Riz (Eq Blanchi),2805,30432.0,1031.0,788.0,1718.0,0.0,26892.0,4.0
Brunéi Darussalam,26,2013,Riz (Eq Blanchi),2805,44.0,7.0,0.0,2.0,0.0,32.0,3.0
Bulgarie,27,2013,Blé,2511,2104.0,267.0,238.0,608.0,93.0,875.0,23.0
Bulgarie,27,2013,Orge,2513,340.0,126.0,35.0,15.0,133.0,6.0,25.0
Bulgarie,27,2013,Maïs,2514,1088.0,105.0,22.0,167.0,258.0,194.0,342.0
Bulgarie,27,2013,"Plantes Oleiferes, Autre",2570,9.0,1.0,0.0,0.0,8.0,0.0,0.0
Myanmar,28,2013,Riz (Eq Blanchi),2805,19596.0,7882.0,556.0,576.0,2753.0,7073.0,757.0
Cameroun,32,2013,Maïs,2514,1686.0,495.0,25.0,192.0,37.0,935.0,2.0
Canada,33,2013,Blé,2511,8381.0,3731.0,1031.0,21.0,0.0,2989.0,664.0
Canada,33,2013,Orge,2513,8405.0,7313.0,207.0,0.0,869.0,16.0,0.0
Canada,33,2013,Maïs,2514,13283.0,10723.0,16.0,452.0,1176.0,667.0,249.0
Sri Lanka,38,2013,Riz (Eq Blanchi),2805,2613.0,0.0,61.0,179.0,3.0,2334.0,37.0
Chili,40,2013,Blé,2511,2097.0,145.0,41.0,64.0,0.0,1845.0,2.0
Chili,40,2013,Orge,2513,147.0,20.0,2.0,5.0,71.0,13.0,36.0
Chili,40,2013,Maïs,2514,2558.0,1920.0,2.0,26.0,0.0,371.0,239.0
Chili,40,2013,"Plantes Oleiferes, Autre",2570,7.0,2.0,0.0,0.0,2.0,0.0,2.0
"Chine, continentale",41,2013,Blé,2511,125247.0,26628.0,4600.0,2990.0,316.0,87783.0,2929.0
"Chine, continentale",41,2013,Orge,2513,3484.0,23.0,49.0,200.0,2997.0,208.0,7.0
"Chine, continentale",41,2013,Maïs,2514,212998.0,150000.0,1650.0,10250.0,6535.0,9391.0,35172.0
"Chine, continentale",41,2013,Pommes de Terre,2531,96068.0,22165.0,3100.0,4797.0,8400.0,57384.0,221.0
"Chine, continentale",41,2013,Graines Colza/Moutarde,2558,18137.0,3715.0,264.0,726.0,13341.0,1.0,91.0
"Chine, continentale",41,2013,Riz (Eq Blanchi),2805,133507.0,12052.0,4669.0,6393.0,0.0,108321.0,2072.0
Colombie,44,2013,Pommes de Terre,2531,2247.0,213.0,85.0,258.0,73.0,1616.0,2.0
Cuba,49,2013,Maïs,2514,1196.0,797.0,4.0,60.0,16.0,318.0,1.0
Chypre,50,2013,Blé,2511,114.0,2.0,2.0,1.0,0.0,95.0,13.0
Azerbaïdjan,52,2013,Blé,2511,3484.0,591.0,142.0,71.0,323.0,2093.0,264.0
Azerbaïdjan,52,2013,Orge,2513,822.0,682.0,73.0,9.0,57.0,0.0,1.0
Azerbaïdjan,52,2013,Maïs,2514,372.0,163.0,1.0,6.0,24.0,125.0,51.0
Azerbaïdjan,52,2013,Pommes de Terre,2531,1012.0,37.0,196.0,6.0,10.0,695.0,68.0
Danemark,54,2013,Orge,2513,2882.0,2505.0,129.0,119.0,128.0,0.0,0.0
Danemark,54,2013,Seigle,2515,501.0,390.0,16.0,16.0,0.0,79.0,0.0
Dominique,55,2013,Racines nda,2534,19.0,9.0,3.0,3.0,0.0,4.0,0.0
Bélarus,57,2013,Blé,2511,2324.0,1339.0,133.0,82.0,179.0,566.0,25.0
Bélarus,57,2013,Orge,2513,1699.0,1250.0,220.0,24.0,152.0,40.0,13.0
Égypte,59,2013,Blé,2511,19341.0,4860.0,217.0,2224.0,0.0,12048.0,0.0
Égypte,59,2013,Maïs,2514,13802.0,7032.0,32.0,1186.0,148.0,5122.0,282.0
Égypte,59,2013,"Plantes Oleiferes, Autre",2570,9.0,0.0,1.0,1.0,7.0,0.0,0.0
