Mois;Qualité;Territoire;Production totale;Production nucléaire;Production thermique totale;Production thermique charbon;Production thermique fioul;Production thermique gaz;Production hydraulique;Production éolien;Production solaire;Production bioénergies;Consommation totale;Solde exportateur;Echanges export;Echanges import;Echanges avec le Royaume-Uni;Echanges avec l'Espagne;Echanges avec l'Italie;Echanges avec la Suisse;Echanges avec l'Allemagne et la Belgique;
2010-01;Données définitives;France;56542;40313;8801;2928;1690;4184;6307;688;10;423;56342;-489;4295;4784;-652;-358;1297;1613;;
2010-02;Données définitives;France;50406;36316;6822;1893;1175;3754;5887;980;16;386;48698;1008;4709;3700;-497;-333;1628;1752;;
2010-03;Données définitives;France;51071;35984;7250;1994;1275;3981;6204;1175;31;428;48294;2044;5506;3462;-365;-360;1784;2022;;
2010-04;Données définitives;France;41693;31294;3568;1489;612;1467;5684;731;45;370;38637;2484;5196;2711;67;-337;1522;1900;;
2010-05;Données définitives;France;39847;29372;2843;1097;504;1242;6428;743;54;408;37284;2075;5221;3145;486;-147;1229;1287;;
2010-06;Données définitives;France;40217;29575;2366;681;463;1223;7263;581;55;378;34567;5187;6971;1783;979;11;1465;1578;;
2010-07;Données définitives;France;41064;31744;2953;1056;511;1386;5410;488;69;400;36031;4489;6811;2322;1013;32;1632;1412;;
2010-08;Données définitives;France;39499;32391;1580;249;424;907;4348;684;74;421;33069;5796;6902;1105;1293;377;828;2021;;
2010-09;Données définitives;France;39218;31657;2965;1226;502;1236;3594;569;74;359;35104;3511;5642;2131;473;70;1329;1595;;
2010-10;Données définitives;France;42116;31885;4713;1831;896;1986;4023;1075;58;361;40918;450;4723;4272;-353;-156;1274;1323;;
2010-11;Données définitives;France;49444;35455;7024;1945;976;4103;5466;1010;32;456;46532;2212;5367;3155;195;-29;1400;1730;;
2010-12;Données définitives;France;58966;41889;8598;2726;1416;4455;6985;1003;30;462;57600;685;5213;4528;387;-395;747;1268;;
2011-01;Données définitives;France;58226;43853;6599;1271;947;4381;5981;1268;47;477;53873;3583;6504;2921;519;-227;1364;1984;;
2011-02;Données définitives;France;50392;38328;6553;1559;858;4136;4112;900;66;433;45937;3795;5928;2132;270;-192;1630;1960;;
2011-03;Données définitives;France;50698;37688;6807;1502;858;4447;4431;1135;126;510;45543;4522;6767;2245;382;-399;1541;2226;;
2011-04;Données définitives;France;41028;32850;2888;808;465;1615;3998;688;189;414;35442;4984;6283;1298;455;-171;1456;2160;;
2011-05;Données définitives;France;41071;33070;3228;1180;421;1626;3373;749;224;426;35107;5257;6312;1054;203;122;1338;2140;;
2011-06;Données définitives;France;40353;32589;1974;509;422;1043;4269;886;214;420;33771;5968;6819;851;561;354;1267;2074;;
2011-07;Données définitives;France;40905;33487;1672;221;429;1023;4174;839;248;484;34204;6058;6634;576;666;469;1019;2170;;
2011-08;Données définitives;France;38497;31383;1805;320;416;1070;3871;687;270;480;32625;5211;6040;829;598;606;778;2088;;
2011-09;Données définitives;France;38968;31477;2749;809;440;1500;3218;855;251;418;34230;4141;5244;1102;322;349;776;1953;;
2011-10;Données définitives;France;42435;32824;4673;1689;565;2419;3256;1070;207;404;37977;3719;5969;2249;109;352;1636;2074;;
2011-11;Données définitives;France;46277;33705;7081;2065;961;4054;3937;945;120;488;41837;3756;5961;2205;-50;-100;1674;2191;;
2011-12;Données définitives;France;53647;39864;5475;1061;861;3553;5646;2053;99;509;48241;4732;6922;2190;766;295;1601;2186;;
2012-01;Données définitives;France;57177;42811;5399;741;691;3967;6741;1587;125;514;51086;5371;7043;1672;929;724;1581;2195;-59;
2012-02;Données définitives;France;54419;38661;8721;2511;1309;4901;5244;1123;216;454;54476;-715;4504;5220;-798;-309;1244;1579;-2430;
2012-03;Données définitives;France;48583;37549;5276;1435;666;3175;3894;977;356;531;43156;4888;7042;2153;583;330;1742;2235;-1;
2012-04;Données définitives;France;44192;33100;3484;1655;486;1343;5302;1572;329;405;40176;3447;5762;2314;547;-9;1271;1670;-31;
2012-05;Données définitives;France;40433;29058;1772;854;368;549;7706;974;454;469;35257;4425;6391;1965;693;251;1341;1060;1079;
2012-06;Données définitives;France;37518;26562;2219;960;384;875;6823;994;483;437;33219;3648;5674;2026;447;482;1207;599;913;
2012-07;Données définitives;France;37910;28818;2221;1110;437;674;4901;912;544;513;34141;3216;5327;2110;822;494;825;787;287;
2012-08;Données définitives;France;36339;28314;2533;1165;413;956;3563;907;536;486;32247;3561;5834;2273;948;334;610;792;877;
2012-09;Données définitives;France;38035;30130;2450;1382;396;671;3641;931;413;470;33269;4054;6036;1981;1011;72;790;1413;769;
2012-10;Données définitives;France;42987;32848;3518;2039;456;1022;4534;1355;283;450;38628;3625;6387;2762;183;-273;1621;1774;321;
2012-11;Données définitives;France;49228;37119;5189;1821;524;2845;4914;1309;182;514;44260;4355;6802;2447;597;-172;1586;1705;639;
